ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,Timestamp,OccupancyRate,BaselinePrice,TrafficScore,VehicleWeight,Norm_OccupancyRate,Norm_QueueLength,Norm_Traffic,Norm_VehicleWeight,Norm_SpecialDay,DemandScore,Model2_Price,Model3_Price,Model2_Price,Model3_Price
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,2016-10-04 07:59:00,0.1057192374350086,11.06,1,2.0,0.1057192374350086,0.0666666666666666,0.3333333333333333,0.6666666666666666,0,0.234477180820335,8.52,8.52,8.62,8.62
5248,BHMNCPHST01,1200,26.14001386,91.73099967,237,bike,low,2,0,2016-10-04 07:59:00,0.1975,11.97,1,1.0,0.1975,0.1333333333333333,0.3333333333333333,0.3333333333333333,0,0.1994999999999999,7.99,7.99,8.19,8.19
3936,BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0,2016-10-04 07:59:00,0.3842794759825327,13.84,1,2.0,0.3842794759825327,0.1333333333333333,0.3333333333333333,0.6666666666666666,0,0.3035225618631732,9.55,9.55,9.75,9.75
6560,BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0,2016-10-04 07:59:00,0.51340206185567,15.13,1,2.0,0.51340206185567,0.1333333333333333,0.3333333333333333,0.6666666666666666,0,0.3293470790378007,9.94,9.94,10.14,10.14
17056,Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0,2016-10-04 07:59:00,0.3197916666666666,13.2,1,0.5,0.3197916666666666,0.1333333333333333,0.3333333333333333,0.1666666666666666,0,0.190625,7.86,7.86,8.06,8.06
2624,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,2016-10-04 07:59:00,0.2489361702127659,12.49,1,2.0,0.2489361702127659,0.1333333333333333,0.3333333333333333,0.6666666666666666,0,0.2764539007092198,9.15,9.15,9.35,9.35
7872,Broad Street,690,26.13795775,91.74099445,178,car,low,2,0,2016-10-04 07:59:00,0.2579710144927536,12.58,1,2.0,0.2579710144927536,0.1333333333333333,0.3333333333333333,0.6666666666666666,0,0.2782608695652174,9.17,9.17,9.37,9.37
14432,Others-CCCPS8,1322,26.14754886,91.72799519,445,bike,average,3,0,2016-10-04 07:59:00,0.3366111951588502,13.37,2,1.0,0.3366111951588502,0.2,0.6666666666666666,0.3333333333333333,0,0.30732223903177,9.61,9.61,9.91,9.91
9184,Others-CCCPS105a,2009,26.14747299,91.72804914,709,car,low,2,0,2016-10-04 07:59:00,0.3529118964659034,13.53,1,2.0,0.3529118964659034,0.1333333333333333,0.3333333333333333,0.6666666666666666,0,0.2972490459598473,9.46,9.46,9.66,9.66
10496,Others-CCCPS119a,2803,26.14754061,91.72797041,195,car,low,1,0,2016-10-04 07:59:00,0.0695683196575098,10.7,1,2.0,0.0695683196575098,0.0666666666666666,0.3333333333333333,0.6666666666666666,0,0.2272469972648353,8.41,8.41,8.51,8.51
